Bank Code,IFSC
AACX,HDFC0CAACOB
ABBL,HDFC0CABBLM
ABCX,YESB0AURDCC
ABDX,YESB0ANBL01
ABEX,NA
ABHY,ABHY0065001
ABSB,SVCB0007002
ABUX,HDFC0CMAN01
ACAX,HDFC0CACABL
ACBX,HDFC0CADARS
ACCX,IBKL0100ACB
ACKX,HDFC0CDACUB
ACOX,HDFC0CAMARN
ACUB,HDFC0CACUB9
ACUX,ICIC00ADRSH
ADBX,GSCB0ADC001
ADCC,ADCC0000001
ADCX,HDFC0CSACBL
ADDX,APBL0019001
AGCX,HDFC0CAUB01
AGDX,ICIC00AGDCB
AGRX,KKBK0ACUB01
AGSX,HDFC0CTANSB
AGUX,UTIB0SACUB1
AGVX,PUNB0RRBAGB
AHMX,ICIC00ADCCB
AHUX,IBKL0478ADC
AIRP,AIRP00000SC
AJKB,AKJB0000001
AJMX,RSCB0011099
AJNX,YESB0AUCB01
AJPX,HDFC0CAPCBL
AJSX,ICIC00AJHCB
AJUX,NA
AKKB,UTIB0SAMMSB
AKMX,HDFC0CAMBLA
AKOX,YESB0AUBHO1
ALAX,HDFC0CALAVI
ALIX,ICIC00AZSBL
ALLX,ICIC00ALDCB
ALWX,RSCB0012001
AMAX,ICIC00AMSBL
AMBX,UTIB0ACCB01
AMCB,AMCB0RTGS4S
AMCX,UTIB0SASR01
AMMX,HDFC0CAMMCO
AMNX,HDFC0CAMNSB
AMRX,GSCB0AMR001
AMSB,IBKL0250A01
AMSX,HDFC0CAMSBA
ANBX,IBKL0697ANS
ANDX,NA
ANMX,HDFC0CMBANK
ANSX,HDFC0CANSCB
ANUX,HDFC0CAUCBL
APBL,APBL0000001
APGB,APGB0000001
APGX,APGV0000001
APJX,HDFC0CAPJBK
APMC,APMC0000001
APMX,UTIB0SAPM01
APNX,HDFC0CAPANI
APRX,SBIN0RRARGB
APSX,HDFC0CPDPBK
ARCX,YESB0ARCB01
ARMX,ICIC00ABWCC
ARYX,BKID0ARYAGB
ASBL,ASBL0000001
ASBX,SVCB0008002
ASHX,IBKL0116APC
ASKX,SVCB0015003
ASNX,UTIB0SACBL1
ASOX,YESB0ASCB02
ASSX,ICIC00ASHSB
AUBL,AUBL0000001
AUBX,ORCB0ANG001
AUCB,AUCB0000001
AUCX,IBKL0116AUC
AURX,IBKL01192AC
AVDX,YESB0ADB001
AWCX,FDRL0AUCB02
AZAX,UTIB0SAZADB
AZPX,NA
AZSX,YESB0AZSB01
AZUX,IBKL0069AZB
BACB,BACB0000001
BACX,HDFC0CBACOB
BADX,WBSC0BDCB01
BAGX,ORCB0BLR001
BALX,HDFC0CBNSBL
BARB,BARB0TREASU
BARC,BARC0INBB01
BARX,KKBK0BCCB04
BASX,ICIC00SBSBN
BAUX,IBKL01365B1
BAVX,HDFC0CTBNSB
BAWX,ORCB0BWP001
BBKM,BBKM0000001
BBLX,KKBK0BUCB01
BBRX,KSCB0002001
BBSX,ORCB0BLS001
BBUX,IBKL0101BBU
BBVX,HDFC0CBVNSB
BCBM,BCBM0000001
BCBX,HDFC0CBCBBK
BCCB,INDB0BCCB02
BCCX,UTIB0SBCB01
BCEX,RSCB0013099
BCEY,BCEY0CHEN01
BCOX,IBKL0364BCB
BCUB,HDFC0CBUCBG
BCUX,IBKL0773BCB
BDBB,ICIC00BAHDC
BDBL,BDBL0000001
BDBX,IBKL0103925
BDCX,KSCB0014001
BDDX,SRCB0BCB808
BDIX,IBKL0596BDC
BDNX,HDFC0CBNSBM
BDOX,ICIC00BDCBL
BDUX,YESB0BUCB01
BEDX,UTIB0SBDCC1
BELX,IBKL0101BDC
BERX,NA
BGCX,IBKL0752BCB
BGGX,BARB0BGGBXX
BGUX,IBKL01077BD
BGVX,PUNB0RRBBGB
BHAX,HDFC0CTBCBL
BHBX,HDFC0CBNSAH
BHCX,UTIB0BCCB01
BHDX,YESB0BHUC01
BHEX,NA
BHGX,IBKL0721BCC
BHJX,FDRL01BMCOB
BHMX,YESB0BMSB01
BHOX,CBIN0MPDCAE
BHRX,RSCB0015001
BHSX,SVCB0010999
BHTX,UTIB0SBUCB1
BHUX,HDFC0CBHLUB
BHWX,UTIB0BHIW01
BJUX,HDFC0CBUCBL
BKCX,BKID099BKCB
BKDX,GSCB0BKD001
BKID,BKID000PIGW
BKSX,RSCB0039099
BLGX,IBKL0101SBC
BMCB,UTIB0SBMCB1
BMCX,RSCB0014099
BMPX,HDFC0CTBMCB
BMSX,HDFC0CBLMSB
BNBX,UTIB0SBNSBM
BNCX,WBSC0BUCB01
BNKX,YESB0BNKCCB
BNPA,BNPA0RTGSMI
BNSX,HDFC0CBNBNK
BOCX,ORCB0BOU001
BODX,IBKL01071BD
BOFA,BOFA0MM6205
BORX,HDFC0CTBUCB
BOTM,BOTM0003611
BOTX,IBKL01606BM
BPCX,HDFC0CBPCBL
BPSX,IBKL01071BP
BRCX,YESB0BRCB01
BRDX,GSCB0BRD001
BRGX,BARB0BRGBXX
BRMX,HDFC0CBUCBB
BRSX,HDFC0CBNB01
BRUX,GSCB0BRC001
BSBX,HDFC0CBSB01
BSCX,HDFC0CBDSCB
BTCX,HDFC0CBCBMN
BTUX,ICIC00BALUC
BUBX,HDFC0CBHUCB
BUCL,UTIB0SUBBLR
BUCX,HDFC0CBWRUB
BUGX,BARB0BUPGBX
BUNX,RSCB0018099
BURX,HDFC0CBCCBL
BUSX,YESB0BCBL02
BUZX,ICIC00ZSBBU
BVNX,GSCB0BVN001
